"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1354","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","speech","yes","ThumbUp","male","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:02:32 GMT+0200 (Central European Summer Time)","1","1","1","1728652568888"
"1148","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f_no_gesture.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","speech","yes","na","female","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:02:39 GMT+0200 (Central European Summer Time)","1","2","1","1728652568888"
"1594","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","speech","yes","na","female","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:02:46 GMT+0200 (Central European Summer Time)","1","3","0","1728652568888"
"1068","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","speech","no","ThumbDown","male","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:02:53 GMT+0200 (Central European Summer Time)","1","4","0","1728652568888"
"1359","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:03:00 GMT+0200 (Central European Summer Time)","1","5","1","1728652568888"
"1378","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","speech","yes","ThumbUp","female","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:03:07 GMT+0200 (Central European Summer Time)","1","6","0","1728652568888"
"741","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","speech","yes","ThumbUp","female","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:03:13 GMT+0200 (Central European Summer Time)","1","7","0","1728652568888"
"984","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:03:19 GMT+0200 (Central European Summer Time)","1","8","0","1728652568888"
"1412","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","speech","no","ThumbUp","female","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:03:26 GMT+0200 (Central European Summer Time)","1","9","1","1728652568888"
"1457","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","2752","1720","firefox","61.04","Linux","26","male","right","Fri Oct 11 2024 14:03:33 GMT+0200 (Central European Summer Time)","1","10","1","1728652568888"
