"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1228","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:12:44 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1729155398197"
"882","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","HeadNod","male","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:12:51 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1729155398197"
"654","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","gesture","na","HeadShake","male","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:12:57 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1729155398197"
"672","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","HeadShake","male","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:03 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1729155398197"
"696","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","HeadNod","male","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:09 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1729155398197"
"1124","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","HeadShake","female","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1729155398197"
"889","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1729155398197"
"749","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1729155398197"
"569","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:35 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1729155398197"
"1050","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","gesture","no","HeadShake","female","gesture-speech","1440","900","chrome","59.78","Mac OS","20","female","right","Thu Oct 17 2024 10:13:41 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1729155398197"
