"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"2063","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:14 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1724074893825"
"636","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:20 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1724074893825"
"843","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1724074893825"
"685","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1724074893825"
"893","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:39 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","1","1724074893825"
"794","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:45 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1724074893825"
"718","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:52 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1724074893825"
"620","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 14:59:58 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1724074893825"
"942","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 15:00:04 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1724074893825"
"597","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.01","Windows 10","22","male","right","Mon Aug 19 2024 15:00:10 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1724074893825"
