"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1527","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","speech","yes","HeadShake","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:03:45 GMT+0200 (közép-európai nyári idő)","1","1","0","1728743953433"
"1108","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","speech","no","na","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:03:51 GMT+0200 (közép-európai nyári idő)","1","2","0","1728743953433"
"941","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","speech","yes","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:03:58 GMT+0200 (közép-európai nyári idő)","1","3","0","1728743953433"
"910","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","speech","no","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:04 GMT+0200 (közép-európai nyári idő)","1","4","0","1728743953433"
"1125","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","speech","yes","na","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:11 GMT+0200 (közép-európai nyári idő)","1","5","0","1728743953433"
"840","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","speech","no","na","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:17 GMT+0200 (közép-európai nyári idő)","1","6","0","1728743953433"
"948","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","speech","no","na","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:24 GMT+0200 (közép-európai nyári idő)","1","7","0","1728743953433"
"912","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","speech","yes","na","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:30 GMT+0200 (közép-európai nyári idő)","1","8","0","1728743953433"
"811","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","speech","yes","HeadNod","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:37 GMT+0200 (közép-európai nyári idő)","1","9","1","1728743953433"
"989","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","na","speech","yes","na","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:43 GMT+0200 (közép-európai nyári idő)","1","10","0","1728743953433"
"956","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","speech","no","HeadNod","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:50 GMT+0200 (közép-európai nyári idő)","1","11","0","1728743953433"
"891","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","speech","yes","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:04:56 GMT+0200 (közép-európai nyári idő)","1","12","0","1728743953433"
"861","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","speech","yes","HeadShake","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:03 GMT+0200 (közép-európai nyári idő)","1","13","1","1728743953433"
"945","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f_no_gesture.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","speech","no","na","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:09 GMT+0200 (közép-európai nyári idő)","1","14","1","1728743953433"
"1252","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","speech","yes","na","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:16 GMT+0200 (közép-európai nyári idő)","1","15","0","1728743953433"
"1055","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","speech","yes","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:23 GMT+0200 (közép-európai nyári idő)","1","16","0","1728743953433"
"803","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","speech","yes","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:29 GMT+0200 (közép-európai nyári idő)","1","17","0","1728743953433"
"866","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_gesture.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","speech","no","na","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:35 GMT+0200 (közép-európai nyári idő)","1","18","0","1728743953433"
"1242","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","speech","no","HeadShake","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:42 GMT+0200 (közép-európai nyári idő)","1","19","0","1728743953433"
"1637","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","speech","no","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:49 GMT+0200 (közép-európai nyári idő)","1","20","0","1728743953433"
"1258","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","speech","no","HeadShake","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:05:56 GMT+0200 (közép-európai nyári idő)","1","21","0","1728743953433"
"910","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","na","speech","no","na","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:06:03 GMT+0200 (közép-európai nyári idő)","1","22","0","1728743953433"
"941","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","speech","no","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:06:09 GMT+0200 (közép-európai nyári idő)","1","23","0","1728743953433"
"995","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","speech","no","HeadNod","female","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:06:16 GMT+0200 (közép-európai nyári idő)","1","24","0","1728743953433"
"1011","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","speech","no","HeadShake","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:06:22 GMT+0200 (közép-európai nyári idő)","1","25","0","1728743953433"
"916","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","speech","no","HeadShake","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:06:29 GMT+0200 (közép-európai nyári idő)","1","26","0","1728743953433"
"1545","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","speech","yes","HeadShake","male","speech-gesture","1280","720","chrome","60.08","Windows 10","19","female","right","Sat Oct 12 2024 15:06:36 GMT+0200 (közép-európai nyári idő)","1","27","0","1728743953433"
