"File","PeakdB","Sex","VoiceAffNeg","Gest","GestAffNeg"
"JaDaumenhoch_f",-27,"f","Aff","Daumen","Aff"
"JaDaumenhoch_m",-14.66,"m","Aff","Daumen","Aff"
"JaDaumenrunter_f",-28.87,"f","Aff","Daumen","Neg"
"JaDaumenrunter_m",-12.74,"m","Aff","Daumen","Neg"
"JaKopfJa_f",-25.77,"f","Aff","Kopf","Aff"
"JaKopfJa_m",-13.38,"m","Aff","Kopf","Aff"
"JaKopfNein_f",-24.87,"f","Aff","Kopf","Neg"
"JaKopfNein_m",-16.08,"m","Aff","Kopf","Neg"
"NeinDaumenhoch_f",-24.46,"f","Neg","Daumen","Aff"
"NeinDaumenhoch_m",-19.71,"m","Neg","Daumen","Aff"
"NeinDaumenrunter_f",-26.12,"f","Neg","Daumen","Neg"
"NeinDaumenrunter_m",-16.42,"m","Neg","Daumen","Neg"
"NeinKopfJa_f",-29.71,"f","Neg","Kopf","Aff"
"NeinKopfJa_m",-18.49,"m","Neg","Kopf","Aff"
"NeinKopfNein_f",-26.33,"f","Neg","Kopf","Neg"
"NeinKopfNein_m",-18.33,"m","Neg","Kopf","Neg"
